Store ID,Store Name,Store Size,Region/Zone,Product_id,Category,Location,Purchase Amount (USD),Promo_code,Discount,Date,Previous Purchases,Age,Gender,Review Rating,Customer_ID,Year,Month,Season,Hour,Day_of_Week,Week_of_Year,Quarter,Is_Weekend,Age_bins,Recency,Frequency,Monetary
1806.0,Store_1806,Small,South,47.0,Footwear,"Texas, Rural",284.306,0.0,10.0,2020-05-02 02:43:05,13.0,25,Male,4.0,77.0,2020,5,Spring,2,Saturday,18,2,True,Young Adult,2074,14,5261.82
1917.0,Store_1917,Large,West,61.0,Accessories,"Texas, Suburban",562.864,1.0,10.0,2023-01-26 17:26:13,8.0,65,Male,3.0,393.0,2023,1,Winter,17,Thursday,4,1,False,Senior,1075,18,6475.08
1118.0,Store_1118,Large,East,19.0,Clothing,"Florida, Suburban",122.284,1.0,10.0,2023-03-20 23:52:52,9.0,35,Female,1.0,443.0,2023,3,Spring,23,Monday,12,1,False,Young Adult,1021,18,6125.83
1146.0,Store_1146,Medium,East,58.0,Footwear,"Texas, Urban",488.158,0.0,15.0,2024-09-20 01:12:30,12.0,25,Male,3.0,216.0,2024,9,Autumn,1,Friday,38,3,False,Young Adult,472,18,5227.43
1867.0,Store_1867,Large,South,42.0,Footwear,"Illinois, Urban",55.00000000000001,0.0,20.0,2020-07-04 22:54:30,11.0,45,Female,2.0,335.0,2020,7,Summer,22,Saturday,27,3,True,Adult,2011,20,5137.43
1264.0,Store_1264,Small,East,73.0,Accessories,"Texas, Urban",37.586,1.0,20.0,2020-03-19 23:59:04,7.0,55,Female,3.0,365.0,2020,3,Spring,23,Thursday,12,1,False,Adult,2117,18,5582.01
1402.0,Store_1402,Small,East,14.0,Clothing,"Illinois, Suburban",428.868,0.0,15.0,2023-10-27 00:38:43,5.0,25,Female,2.0,53.0,2023,10,Autumn,0,Friday,43,4,False,Young Adult,801,20,6246.25
1257.0,Store_1257,Large,East,3.0,Clothing,"Texas, Urban",358.2369468421053,0.0,25.0,2021-04-30 05:34:00,11.0,35,Female,3.3130434782608695,426.0,2021,4,Spring,5,Friday,17,2,False,Young Adult,1711,20,6743.47
1859.0,Store_1859,Medium,South,56.0,Footwear,"Illinois, Suburban",477.664,0.0,15.0,2021-12-20 10:24:26,10.0,35,Male,3.0,99.0,2021,12,Winter,10,Monday,51,4,False,Young Adult,1477,23,7752.47
1188.0,Store_1188,Large,East,34.0,Electronics,"Texas, Rural",471.63,0.0,20.0,2025-03-30 01:20:04,7.0,45,Female,3.0,292.0,2025,3,Spring,1,Sunday,13,1,True,Adult,281,15,5345.69
1826.0,Store_1826,Large,West,55.0,Footwear,"Texas, Urban",189.398,0.0,10.0,2023-06-07 00:36:34,11.0,45,Male,2.0,107.0,2023,6,Summer,0,Wednesday,23,2,False,Adult,943,17,5092.22
1742.0,Store_1742,Large,South,43.0,Footwear,"California, Suburban",170.44600000000003,1.0,15.0,2021-07-09 16:57:08,8.0,35,Male,3.0,295.0,2021,7,Summer,16,Friday,27,3,False,Young Adult,1641,27,8462.72
1981.0,Store_1981,Large,West,42.0,Footwear,"Illinois, Rural",55.154,0.0,0.0,2021-01-05 09:19:11,9.0,35,Male,4.0,60.0,2021,1,Winter,9,Tuesday,1,1,False,Young Adult,1826,25,7789.83
1498.0,Store_1498,Small,South,43.0,Footwear,"Illinois, Rural",391.13900000000007,1.0,30.0,2024-02-11 04:32:52,6.0,45,Male,2.0,44.0,2024,2,Winter,4,Sunday,6,1,True,Adult,694,18,6607.19
1709.0,Store_1709,Large,North,69.0,Accessories,"Illinois, Urban",597.1419999999999,0.0,15.0,2024-03-19 09:04:21,16.0,65,Female,5.0,230.0,2024,3,Spring,9,Tuesday,12,1,False,Senior,657,18,6805.99
1238.0,Store_1238,Small,South,8.0,Clothing,"New York, Suburban",466.984,1.0,25.0,2021-04-18 00:19:32,10.0,25,Male,3.0,418.0,2021,4,Spring,0,Sunday,15,2,True,Young Adult,1723,20,7447.53
1326.0,Store_1326,Large,North,79.0,Accessories,"Texas, Suburban",407.55,0.0,15.0,2022-05-27 04:23:23,10.0,35,Male,1.0,462.0,2022,5,Spring,4,Friday,21,2,False,Young Adult,1319,26,10062.27
1069.0,Store_1069,Large,South,80.0,Accessories,"Illinois, Urban",88.62100000000001,0.0,0.0,2023-02-21 02:29:53,13.0,65,Male,3.0,477.0,2023,2,Winter,2,Tuesday,8,1,False,Senior,1049,20,5774.04
