Store ID,Store Name,Store Size,Region/Zone,Product_id,Category,Location,Purchase Amount (USD),Promo_code,Discount,Date,Previous Purchases,Age,Gender,Review Rating,Customer_ID
1806,Store_1806,Small,South,47,Footwear,"Texas, Rural",284.306,0,10,2020-05-02 02:43:05,13,25,Male,4,77
1917,Store_1917,Large,West,61,Accessories,"Texas, Suburban",562.864,1,10,2023-01-26 17:26:13,8,65,Male,3,393
1118,Store_1118,Large,East,19,Clothing,"Florida, Suburban",122.28399999999999,1,10,2023-03-20 23:52:52,9,35,Female,1,443
1146,Store_1146,Medium,East,58,Footwear,"Texas, Urban",488.158,0,15,2024-09-20 01:12:30,12,25,Male,3,216
1867,Store_1867,Large,South,42,Footwear,"Illinois, Urban",55.00000000000001,0,20,2020-07-04 22:54:30,11,45,Female,2,335
1264,Store_1264,Small,East,73,Accessories,"Texas, Urban",37.586,1,20,2020-03-19 23:59:04,7,55,Female,3,365
1402,Store_1402,Small,East,14,Clothing,"Illinois, Suburban",428.868,0,15,2023-10-27 00:38:43,5,25,Female,2,53
1257,Store_1257,Large,East,3,Clothing,"Texas, Urban",,,25,2021-04-30 05:34:00,11,,,,426
1859,Store_1859,Medium,South,56,Footwear,"Illinois, Suburban",477.66400000000004,0,15,2021-12-20 10:24:26,10,35,Male,3,99
1188,Store_1188,Large,East,34,Electronics,"Texas, Rural",471.63,0,20,2025-03-30 01:20:04,7,45,Female,3,292
1826,Store_1826,Large,West,55,Footwear,"Texas, Urban",189.39800000000002,0,10,2023-06-07 00:36:34,11,45,Male,2,107
1742,Store_1742,Large,South,43,Footwear,"California, Suburban",170.44600000000003,1,15,2021-07-09 16:57:08,8,35,Male,3,295
1981,Store_1981,Large,West,42,Footwear,"Illinois, Rural",55.154,0,0,2021-01-05 09:19:11,9,35,Male,4,60
1498,Store_1498,Small,South,43,Footwear,"Illinois, Rural",391.13900000000007,1,30,2024-02-11 04:32:52,6,45,Male,2,44
1709,Store_1709,Large,North,69,Accessories,"Illinois, Urban",597.1419999999999,0,15,2024-03-19 09:04:21,16,65,Female,5,230
1238,Store_1238,Small,South,8,Clothing,"New York, Suburban",466.984,1,25,2021-04-18 00:19:32,10,25,Male,3,418
1326,Store_1326,Large,North,79,Accessories,"Texas, Suburban",407.55,0,15,2022-05-27 04:23:23,10,35,Male,1,462
1069,Store_1069,Large,South,80,Accessories,"Illinois, Urban",88.62100000000001,0,0,2023-02-21 02:29:53,13,65,Male,3,477
1928,Store_1928,Large,North,80,Accessories,"New York, Suburban",540.202,0,15,2025-06-16 04:53:24,7,45,Female,4,139
1763,Store_1763,Large,North,55,Footwear,"California, Suburban",531.344,0,20,2024-10-20 18:19:59,13,25,Female,1,150
1973,Store_1973,Large,North,32,Electronics,"Illinois, Urban",218.17000000000002,1,0,2023-10-10 22:54:57,13,25,Female,1,70
1704,Store_1704,Large,North,14,Clothing,"Illinois, Suburban",269.176,1,5,2021-07-17 02:24:31,12,35,Female,4,396
1024,Store_1024,Large,South,38,Electronics,"New York, Industrial",35.335,1,0,2023-03-31 05:34:05,9,35,Female,2,40
1581,Store_1581,Medium,West,62,Accessories,"Texas, Rural",542.919,0,5,2024-03-20 16:32:20,7,65,Female,3,224
1155,Store_1155,Large,West,71,Accessories,"California, Coastal",,,15,2025-09-06 04:40:27,12,,,,18
1657,Store_1657,Large,East,21,Electronics,"Illinois, Suburban",382.585,1,25,2025-02-18 12:32:41,18,45,Female,3,265
1830,Store_1830,Large,North,39,Electronics,"Texas, Rural",438.70500000000004,0,15,2021-08-13 08:22:33,11,18,Female,3,497
1218,Store_1218,Large,North,34,Electronics,"California, Urban",55.83,0,20,2021-12-25 23:26:37,7,25,Female,2,273
1560,Store_1560,Small,North,69,Accessories,"Florida, Suburban",124.904,0,10,2020-11-15 17:08:31,7,65,Female,4,21
1378,Store_1378,Medium,South,63,Accessories,"Florida, Urban",516.763,0,25,2024-06-28 20:14:46,10,55,Female,3,106
1891,Store_1891,Large,West,14,Clothing,"California, Coastal",170.488,1,5,2021-03-27 02:16:24,8,25,Male,4,31
1193,Store_1193,Small,East,20,Clothing,"New York, Industrial",,,15,2020-01-27 03:10:02,13,,,,485
1039,Store_1039,Large,South,63,Accessories,"California, Urban",500.23,1,15,2022-07-29 14:13:17,12,35,Female,4,88
